alpha_rate,tau_rate,o_winrate,drawrate,x_winrate
1e-06,0.46415888336127775,0.0036000000000000003,0.9964000000000001,0.0
1e-06,2.154434690031882,0.013999999999999999,0.986,0.0
1e-06,10.0,0.44960000000000006,0.5504,0.0
1e-06,46.41588833612773,0.8051999999999999,0.1948,0.0
1e-06,215.44346900318823,0.8092,0.1908,0.0
1e-06,1000.0,0.8027999999999998,0.1972,0.0
2.1544346900318867e-07,0.001,0.0156,0.9843999999999999,0.0
2.1544346900318867e-07,0.004641588833612777,0.0152,0.9847999999999999,0.0
2.1544346900318867e-07,0.021544346900318832,0.014000000000000002,0.986,0.0
2.1544346900318867e-07,0.1,0.0128,0.9872,0.0
2.1544346900318867e-07,0.46415888336127775,0.004000000000000001,0.9960000000000001,0.0
2.1544346900318867e-07,2.154434690031882,0.0196,0.9804,0.0
2.1544346900318867e-07,10.0,0.4408,0.5592,0.0
2.1544346900318867e-07,46.41588833612773,0.7872,0.21280000000000002,0.0
2.1544346900318867e-07,215.44346900318823,0.7912,0.2088,0.0
2.1544346900318867e-07,1000.0,0.8032,0.1968,0.0
4.641588833612782e-08,0.001,0.0128,0.9872,0.0
4.641588833612782e-08,0.004641588833612777,0.0164,0.9836,0.0
4.641588833612782e-08,0.021544346900318832,0.013999999999999999,0.986,0.0
4.641588833612782e-08,0.1,0.012400000000000001,0.9875999999999999,0.0
4.641588833612782e-08,0.46415888336127775,0.004800000000000001,0.9952,0.0
4.641588833612782e-08,2.154434690031882,0.017200000000000003,0.9827999999999999,0.0
4.641588833612782e-08,10.0,0.47919999999999996,0.5208,0.0
4.641588833612782e-08,46.41588833612773,0.7884,0.2116,0.0
4.641588833612782e-08,215.44346900318823,0.8176,0.18239999999999998,0.0
4.641588833612782e-08,1000.0,0.8168000000000001,0.1832,0.0
1e-08,0.001,0.0128,0.9872,0.0
1e-08,0.004641588833612777,0.0124,0.9876000000000001,0.0
1e-08,0.021544346900318832,0.013600000000000001,0.9864,0.0
1e-08,0.1,0.0104,0.9896,0.0
1e-08,0.46415888336127775,0.0048000000000000004,0.9952,0.0
1e-08,2.154434690031882,0.0216,0.9784,0.0
1e-08,10.0,0.4612,0.5388,0.0
1e-08,46.41588833612773,0.7924,0.20759999999999995,0.0
1e-08,215.44346900318823,0.8156000000000001,0.18439999999999998,0.0
1e-08,1000.0,0.7992000000000001,0.2008,0.0
2.1544346900318866e-09,0.001,0.015999999999999997,0.984,0.0
2.1544346900318866e-09,0.004641588833612777,0.013600000000000001,0.9864,0.0
2.1544346900318866e-09,0.021544346900318832,0.019200000000000002,0.9808,0.0
2.1544346900318866e-09,0.1,0.008799999999999999,0.9912000000000001,0.0
2.1544346900318866e-09,0.46415888336127775,0.002,0.998,0.0
2.1544346900318866e-09,2.154434690031882,0.014800000000000002,0.9852000000000001,0.0
2.1544346900318866e-09,10.0,0.466,0.534,0.0
2.1544346900318866e-09,46.41588833612773,0.784,0.21600000000000003,0.0
