alpha_rate,tau_rate,o_winrate,drawrate,x_winrate
1e-09,1e-08,0.0,0.95675,0.04325000000000001
1e-09,1e-09,0.0,0.957625,0.04237500000000001
1e-09,1e-10,0.0,0.9555,0.044500000000000005
1e-10,0.1,0.0,0.9468750000000001,0.053125
1e-10,0.01,0.0,0.957125,0.04287500000000001
1e-10,0.001,0.0,0.9580000000000001,0.04200000000000001
1e-10,0.0001,0.0,0.9575,0.04250000000000001
1e-10,1e-05,0.0,0.955125,0.04487500000000001
1e-10,1e-06,0.0,0.9572500000000002,0.04275000000000001
1e-10,1e-07,0.0,0.95575,0.04425000000000001
1e-10,1e-08,0.0,0.95675,0.043250000000000004
1e-10,1e-09,0.0,0.9587500000000001,0.04125000000000001
1e-10,1e-10,0.0,0.957375,0.042625
